id,rua,bloco,coluna,nivel,codigo_produto,nome,data_fabricacao,data_validade
1,1,1,A,1,119166,DV LARANJA 200ML C/18UND,01/06/2026,02/06/2026
2,1,1,A,2,,,,
3,1,1,A,3,119165,DV PESSEGO 200ML C18UND,01/06/2026,01/06/2026
4,1,1,B,1,56103,FTA GUA BAG 5L 1U,01/06/2026,11/06/2026
5,1,1,B,2,,,,
6,1,1,B,3,139441,WHISKEY JW RED LABEL GAR VD 75,10/06/2026,02/06/2026
7,1,1,C,1,,,,
8,1,1,C,2,,,,
9,1,1,C,3,,,,
10,1,1,C,4,,,,
11,1,1,C,5,,,,
12,1,2,A,1,,,,
13,1,2,A,2,,,,
14,1,2,A,3,,,,
15,1,2,A,4,,,,
16,1,2,A,5,,,,
17,1,2,B,1,,,,
18,1,2,B,2,,,,
19,1,2,B,3,,,,
20,1,2,B,4,,,,
21,1,2,B,5,,,,
22,1,2,C,1,,,,
23,1,2,C,2,,,,
24,1,2,C,3,,,,
