Codigo;Cod. CIA;Descricao;Complemento;UN;Grupo;Categoria;Marca;Saldo Atual;Custo G;Custo C;Custo UE;Data UE;Fat.GN;Peso Bruto;Peso L�quido;Vol Embalagem;Qtda por Pallet;Qtda por Lastro;Grp Carg;Seq Grp Carg;Cx/Emb;Pos Item;Rest Gaiola;Qnt Emb;Qnt Chapatex;Situa��o;Descicao Fiscal
141003;141003;MENTOS PURE FRUIT 3 CAMADAS 5P;15X8,5G   ;CX;013-BALAS E GOMAS             ;013.001-SLAB                  ;013.001.001-MENTOS            ;18;19,04;14,17;19,05; 8/12/25;0,02245;0,127;0,127;1;204;100;140;10;76;525;   ;15;0;ATIVO  ;
141004;141004;MENTOS PF MINT GOMA STICK     ;14X16G    ;CX;013-BALAS E GOMAS             ;013.002-STICK                 ;013.002.001-MENTOS            ;                    ;27,02;20,1;27,02;13/09/2024;0,03945;0,224;0,224;1;297;27;140;20;77;530;   ;14;0;ATIVO  ;
141005;141005;MENTOS PF WINTERGREEN GOMA STI;14X16G    ;CX;013-BALAS E GOMAS             ;013.002-STICK                 ;013.002.001-MENTOS            ;                    ;27,15;20,2;27,02; 7/10/24;0,03945;0,224;0,224;1;297;27;140;30;77;530;   ;14;0;ATIVO  ;
141006;141006;MENTOS FRUTAS STICK 14P       ;16X38G    ;CX;013-BALAS E GOMAS             ;013.002-STICK                 ;013.002.001-MENTOS            ;51;26,56;19,76;26,56; 8/12/25;0,10707;0,6;0,6;1;61;8;140;40;72;508;   ;16;0;ATIVO  ;
141007;141007;MENTOS MINT STICK             ;16X14G    ;CX;013-BALAS E GOMAS             ;013.002-STICK                 ;013.002.001-MENTOS            ;32;26,56;19,76;26,56;27/11/2025;0,10707;0,61;0,61;1;61;8;140;50;72;508;   ;16;0;ATIVO  ;
141008;141008;MENTOS PF MINT GARRAFA        ;6X56G     ;CX;013-BALAS E GOMAS             ;013.003-GARRAFA               ;013.003.001-MENTOS            ;6;48,54;36,12;48,54;27/11/2025;0,05917;0,33;0,33;1;160;80;140;60;75;520;   ;6;0;ATIVO  ;
141009;141009;MENTOS PF WINTERGREEN GARRAFA ;6X56G     ;CX;013-BALAS E GOMAS             ;013.003-GARRAFA               ;013.003.001-MENTOS            ;10;48,54;36,12;48,54; 8/12/25;0,05917;0,33;0,33;1;160;80;140;70;75;520;   ;6;0;ATIVO  ;
141011;141011;MENTOS RAINBOW STICK          ;16X38G    ;CX;013-BALAS E GOMAS             ;013.002-STICK                 ;013.002.001-MENTOS            ;63;26,55;19,76;26,56; 8/12/25;0,10707;0,61;0,61;1;61;8;140;80;72;508;   ;16;0;ATIVO  ;
141012;141012;MENTOS PF FRESH MINT 3 CAMADAS;15X8,5G   ;CX;013-BALAS E GOMAS             ;013.001-SLAB                  ;013.001.001-MENTOS            ;19;19,04;14,17;19,05; 8/12/25;0,02245;0,12;0,12;1;204;100;140;90;76;525;   ;15;0;ATIVO  ;
141013;141013;MENTOS PF SPEARMINT 3 CAMADAS ;15X8,5G   ;CX;013-BALAS E GOMAS             ;013.001-SLAB                  ;013.001.001-MENTOS            ;19;19,04;14,17;19,05; 8/12/25;0,02245;0,12;0,12;1;204;100;140;100;76;525;   ;15;0;ATIVO  ;
141014;141014;FRUITTELLA MASTIG MORANGO VITA;16X40G    ;CX;013-BALAS E GOMAS             ;013.002-STICK                 ;013.002.002-FRUITTELLA        ;36;28,15;20,95;28,16; 8/12/25;0,11271;0,774;0,774;1;480;48;140;110;70;501;   ;16;0;ATIVO  ;
141015;141015;FRUITTELLA SWIRL MORANGO VITA ;15X41G    ;CX;013-BALAS E GOMAS             ;013.002-STICK                 ;013.002.002-FRUITTELLA        ;28;28,04;20,87;28,05; 8/12/25;0,10831;0,77;0,77;1;550;55;140;120;71;505;   ;15;0;ATIVO  ;
141016;141016;MENTOS PF UP2U GARRAFA        ;6X56G     ;CX;013-BALAS E GOMAS             ;013.003-GARRAFA               ;013.003.001-MENTOS            ;11;48,54;36,12;48,54; 8/12/25;0,05917;0,33;0,33;1;160;80;140;130;75;520;   ;6;0;ATIVO  ;
141019;141019;MENTOS MORANGO IOGURTE STICK  ;16X38G    ;CX;013-BALAS E GOMAS             ;013.002-STICK                 ;013.002.001-MENTOS            ;43;26,55;19,76;26,56;27/11/2025;0,10707;0,61;0,61;1;61;8;140;140;72;508;   ;16;0;ATIVO  ;
141020;141020;MENTOS FRUTAS VERMELHA STICK C;16X600GR  ;CX;013-BALAS E GOMAS             ;013.002-STICK                 ;013.002.001-MENTOS            ;38;26,56;19,76;26,56;27/11/2025;0,10707;0,61;0,61;1;61;8;140;140;72;508;   ;16;0;ATIVO  ;
141021;141021;MENTOS STRONG MINT SLAB       ;15X8,5G   ;CX;013-BALAS E GOMAS             ;013.001-SLAB                  ;013.001.001-MENTOS            ;                    ;19,04;14,17;19,05;23/09/2025;0,02245;0,127;0,127;1;204;100;140;150;76;525;   ;15;0;ATIVO  ;
141022;141022;MENTOS PURE WHITE GARRAFA     ;6X56GR    ;CX;013-BALAS E GOMAS             ;013.003-GARRAFA               ;013.003.001-MENTOS            ;                    ;48,54;36,12;48,54;23/09/2025;0,05917;0,336;0,336;1;160;80;140;160;75;520;   ;6;0;ATIVO  ;
141023;141023;FINI TUBES MORANGO 27G (24)   ;24 X 27G  ;CX;013-BALAS E GOMAS             ;013.005-TUBES                 ;013.005.001-FINI              ;9;31,92;23,75;31,92;28/11/2025;0,11412;0,33;0,33;1;600;100;140;170;80;550;   ;24;0;ATIVO  ;
141024;141024;FINI TUBES TWISTER 27G (24)   ;24 X 27G  ;CX;013-BALAS E GOMAS             ;013.001-SLAB                  ;013.001.001-MENTOS            ;6;31,92;23,75;31,92;17/11/2025;0,11412;0,33;0,33;1;600;100;140;180;80;550;   ;24;0;ATIVO  ;
141025;141025;FINI TUBES IOGURTE 27G (24)   ;24 X 27G  ;CX;013-BALAS E GOMAS             ;013.005-TUBES                 ;013.005.001-FINI              ;                    ;30,72;22,86;30,72;12/07/2024;0,11412;0,33;0,33;1;600;100;140;190;80;550;   ;24;0;ATIVO  ;
141027;141027;FINI TUBES MORANGO CITR 15G (1;12X15G    ;CX;013-BALAS E GOMAS             ;013.006-TUBESAZED             ;013.006.001-FINI              ;                    ;8,6;6,4;8,4; 6/12/24;0,0317;0,33;0,33;1;600;100;140;210;80;550;   ;12;0;ATIVO  ;
141028;141028;FINI TUBES MORANGO 15G (12)   ;12X15G    ;CX;013-BALAS E GOMAS             ;013.005-TUBES                 ;013.005.001-FINI              ;2;8,76;6,51;8,76; 8/12/25;0,0317;0,33;0,33;1;600;100;140;220;80;550;   ;12;0;ATIVO  ;
141029;141029;FINI DENTADURAS 15G CX12      ;12X15G    ;CX;013-BALAS E GOMAS             ;013.005-TUBES                 ;013.005.001-FINI              ;37;8,76;6,51;8,76;27/11/2025;0,0317;0,33;0,33;1;600;100;140;230;80;550;   ;12;0;ATIVO  ;
141030;141030;FINI MINHOCAS 15G CX12        ;12X15G    ;CX;013-BALAS E GOMAS             ;013.005-TUBES                 ;013.005.001-FINI              ;51;8,75;6,51;8,76; 8/12/25;0,0317;0,33;0,33;1;600;100;140;240;80;550;   ;12;0;ATIVO  ;
141031;141031;FINI BEIJOS 15G CX12          ;12X15G    ;CX;013-BALAS E GOMAS             ;013.005-TUBES                 ;013.005.001-FINI              ;46;8,76;6,51;8,76; 8/12/25;0,0317;0,33;0,33;1;600;100;140;250;80;550;   ;12;0;ATIVO  ;
141032;141032;FINI BANANAS 15G CX12 180G    ;12X15G    ;CX;013-BALAS E GOMAS             ;013.005-TUBES                 ;013.005.001-FINI              ;46;8,76;6,51;8,76; 8/12/25;0,0317;0,33;0,33;1;600;100;140;260;80;550;   ;12;0;ATIVO  ;
141033;141033;FINI TUBES PINTA LINGUA 15G (1;12X15G    ;CX;013-BALAS E GOMAS             ;013.005-TUBES                 ;013.005.001-FINI              ;11;8,76;6,51;8,76;12/11/2025;0,0317;0,33;0,33;1;600;100;140;270;80;550;   ;12;0;ATIVO  ;
141034;141034;FINI TUBES TRES CORES 15G (12);12X15G    ;CX;013-BALAS E GOMAS             ;013.005-TUBES                 ;013.005.001-FINI              ;12;8,76;6,51;8,76;28/11/2025;0,0317;0,33;0,33;1;600;100;140;280;80;550;   ;12;0;ATIVO  ;
141036;141036;FINI TUBES TUTTI FRUTTI 15G (1;12X15G    ;CX;013-BALAS E GOMAS             ;013.005-TUBES                 ;013.005.001-FINI              ;19;8,75;6,51;8,76; 9/12/25;0,0317;0,33;0,33;1;600;100;140;290;80;550;   ;12;0;ATIVO  ;
141037;141037;FINI CHICLE CLASSICOS 14G CX18;18X14G    ;CX;013-BALAS E GOMAS             ;013.005-TUBES                 ;013.005.001-FINI              ;                    ;12,6;9,37;12,6;19/02/2025;0,04438;0,33;0,33;1;600;100;140;220;80;550;   ;18;0;ATIVO  ;
141038;141038;FINI CHICLE MORANGO 14G CX18 2;18X14G    ;CX;013-BALAS E GOMAS             ;013.005-TUBES                 ;013.005.001-FINI              ;11;12,96;9,64;12,96; 8/12/25;0,04438;0,33;0,33;1;600;100;140;220;80;550;   ;18;0;ATIVO  ;
141039;141039;FINI CHICLE SALADA FRUTAS 14G ;18X14G    ;CX;013-BALAS E GOMAS             ;013.005-TUBES                 ;013.005.001-FINI              ;15;12,96;9,64;12,96; 8/12/25;0,04438;0,33;0,33;1;600;100;140;220;80;550;   ;18;0;ATIVO  ;
141040;141040;FINI TUBES MORANGO CITR 40G CX;10X40GR   ;CX;013-BALAS E GOMAS             ;013.005-TUBES                 ;013.005.001-FINI              ;                    ;20,7;20,7;20,7;16/05/2023;0,07044;0,33;0,33;1;600;100;140;300;80;550;   ;10;0;ATIVO  ;
141046;141046;TRIDENT HORTELA 8G CX21       ;21 X 8G   ;CX;013-BALAS E GOMAS             ;013.008-GOMAS                 ;013.008.002-TRIDENT           ;38;36,93;27,48;36,96; 8/12/25;0,02958;0,3;0,3;1;550;100;140;310;87;91;   ;21;0;ATIVO  ;
141048;141048;TRIDENT MELANCIA 8G CX21      ;21X8G     ;CX;013-BALAS E GOMAS             ;013.008-GOMAS                 ;013.008.002-TRIDENT           ;47;36,95;27,5;36,96; 8/12/25;0,02958;0,3;0,3;1;550;100;140;330;87;91;   ;21;0;ATIVO  ;
141047;141047;TRIDENT MENTA 8G CX21         ;21X8G     ;CX;013-BALAS E GOMAS             ;013.008-GOMAS                 ;013.008.002-TRIDENT           ;36;36,96;27,5;36,96; 8/12/25;0,02958;0,3;0,3;1;550;100;140;320;87;91;   ;21;0;ATIVO  ;
141049;141049;TRIDENT TUTTI FRUTTI 8G CX21  ;21X8G     ;CX;013-BALAS E GOMAS             ;013.008-GOMAS                 ;013.008.002-TRIDENT           ;44;36,34;27,04;36,96;27/11/2025;0,02958;0,3;0,3;1;550;100;140;340;87;91;   ;21;0;ATIVO  ;
141054;141054;HALLS CEREJA 28G CX21 588G    ;21 X 28G  ;CX;013-BALAS E GOMAS             ;013.009-BALAS                 ;013.009.001-HALLS             ;66;23,23;17,28;23,31; 8/12/25;0,10355;0,3;0,3;1;500;100;140;360;86;90;   ;21;0;ATIVO  ;
141056;141056;HALLS MENTA 28G CX21 588G     ;          ;CX;013-BALAS E GOMAS             ;013.009-BALAS                 ;013.009.001-HALLS             ;58;23,21;17,27;23,31; 8/12/25;0,10355;0,3;0,3;1;500;100;140;370;86;90;   ;21;0;ATIVO  ;
