Codigo;Cod. CIA;Descrição;Complemento;UN;Grupo;Categoria;Marca;Saldo Atual;Custo G;Custo C;Custo UE;Data UE;Fat.GN;Peso Bruto;Peso Líquido;Vol Embalagem;Qtda por Pallet;Qtda por Lastro;Grp Carg;Seq Grp Carg;Cx/Emb;Pos Item;Rest Gaiola;Qnt Emb;Qnt Chapatex;Situação;Descicao Fiscal
120121;        ;CO2 GAS-DIOXIDO DE CARBONO 9KG;1X1 KG    ;KG;023-GAS CO2                   ;023.001-GAS CO2               ;023.001.001-WHITE MARTINS     ;45;15;12,65;15;45923;1;3,83;3,83;1;672;56;1;12;47;420;   ;1;0;ATIVO  ;                                                                                                    
120120;        ;TANQUE GAS CO2 6KG            ;6X1KG     ;KG;023-GAS CO2                   ;023.001-GAS CO2               ;023.001.001-WHITE MARTINS     ;126;10;10;10;45915;1;3,83;3,83;1;672;56;1;12;47;420;   ;1;0;ATIVO  ;                                                                                                    
55202;55202;CC BAG 10L                    ;1X10L     ;UN;001-REFRIG                    ;001.140-10 LITROS             ;001.140.176-COCA              ;15;306,3;278,14;306,3;23/09/2025;11,27157;10;10;1;100;10;90;10;65;130;   ;1;0;ATIVO  ;                                                                                                    
56103;56103;FTA GUA BAG 5L 1U             ;1X5L      ;UN;001-REFRIG                    ;001.130-5 LITROS              ;001.130.010-FANTA BAG         ;20;148,74;135,23;148,74;23/09/2025;4,75519;5;5;1;100;10;90;40;65;130;   ;1;0;ATIVO  ;                                                                                                    
55729;55729;SPRITE SA LIM BAG 5L          ;1X5L      ;UN;001-REFRIG                    ;001.130-5 LITROS              ;001.130.174-SPRITE            ;13;148,74;135,23;148,74;16/09/2025;4,75519;5;5;1;100;10;90;50;65;130;   ;1;0;ATIVO  ;                                                                                                    
55464;55464;FTLAR BAG 5L                  ;1X5L      ;UN;001-REFRIG                    ;001.130-5 LITROS              ;001.130.010-FANTA BAG         ;16;148,73;135,23;148,74;23/09/2025;4,75519;5;5;1;100;10;90;20;65;130;   ;1;0;ATIVO  ;                                                                                                    
55720;55720;CC ZERO BAG 5L                ;1X5L      ;UN;001-REFRIG                    ;001.130-5 LITROS              ;001.130.010-FANTA BAG         ;4;153,15;139,07;153,15;23/09/2025;5,63578;5;5;1;100;10;90;30;65;130;   ;1;0;ATIVO  ;                                                                                                    
119159;119159;ADES 200ML MORANGO C/6UN      ;6X200ML   ;CX;009-SOJA                      ;009.037-6.8 Onz / 200 ML=CC   ;009.037.303-ADES MAX          ;300;10,44;9,68;10,44; 7/10/25;0,21134;1,25;1,25;1;684;76;100;70;58;360;   ;6;0;ATIVO  ;                                                                                                    
119166;119166;DV LARANJA 200ML C/18UND      ;18X200ML  ;CX;008-SUCOS                     ;008.037-6.8 Onz / 200 ML=CC   ;008.037.234-DELL VALE MAIS    ;51;26,81;24,91;26,82;24/09/2025;0,63402;3,6;3,6;1;280;28;100;130;43;362;   ;18;0;ATIVO  ;                                                                                                    
119165;119165;DV PESSEGO 200ML C18UND       ;18X200ML  ;CX;008-SUCOS                     ;008.037-6.8 Onz / 200 ML=CC   ;008.037.234-DELL VALE MAIS    ;80;26,81;24,92;26,82;24/09/2025;0,63402;3,6;3,6;1;280;28;100;130;43;362;   ;18;0;ATIVO  ;                                                                                                    
