codigo,nome,quantidade
120121,CO2 GAS-DIOXIDO DE CARBONO 9KG,0
120120,TANQUE GAS CO2 6KG            ,0
55202,CC BAG 10L                    ,0
56103,FTA GUA BAG 5L 1U             ,0
55729,SPRITE SA LIM BAG 5L          ,0
55464,FTLAR BAG 5L                  ,0
55720,CC ZERO BAG 5L                ,0
119166,DV LARANJA 200ML C/18UND      ,0
119165,DV PESSEGO 200ML C18UND       ,0
119164,DV UVA TP 200ML (18U) CP      ,0
119116,LATA 290ML ICE TEA LIMAO ZERO ,0
119118,LATA 290ML MATTE LEAO LIMAO CG,0
139561,SKYY GAR VD 980ML(1)          ,0
139437,VODKA SMIRNOFF RED GAR VD 998M,0
139560,CYNAR GARRAFA VD 900ML UN     ,0
139441,WHISKEY JW RED LABEL GAR VD 75,0
139559,SAGATIBA ENVELHECIDA GAR VD 70,0
139738,VINHO FINCA LAS MORAS CABERNET,0
139736,VINHO FINCA LAS MORAS MALBEC  ,0
139667,VINHO 3 MEDALLAS SAUV BLANC   ,0
139666,VINHO 3 MEDALLAS MERLOT 750ML ,0
139663,VINHO 3 MEDALLAS CABERNET SAUV,0
139338,CAMPARI GAR VD 748ML          ,0
139664,VINHO 120 CABERNET SAUV 750ML ,0
139665,VINHO 120 CARMENERE 750ML     ,0
139668,VINHO 120 CHARDONNAY SCAP750ML,0
139675,DREHER GAR VD 900ML 1UN       ,0
5118,DV KAPO UVA TP 200ML          ,0
5119,DV KAPO MORANGO TP 200ML      ,0
5120,DV KAPO MARACUJA TP 200ML     ,0
5122,DV KAPO LARANJA TP 200ML      ,0
119068,DV KAPO MACA C/12 UND         ,0
5121,DV KAPO ABACAXI TP 200ML      ,0
119158,ADES 200ML UVA C/6UN          ,0
119156,ADES 200ML MACA C/6UN         ,0
119157,ADES 200ML PESSEGO C/6 UNID   ,0
119144,ADES LARANJA 1 LITRO C/6 UNID ,0
119149,ADES UVA 1 LITRO C/6,0
119145,ADES MACA 1L CX 6UN           ,0
119148,ADES PESSEGO 1L 6U            ,0
119143,ADES ABACAXI 1LITRO C/6UND    ,0
118953,ADES BAUNILHA 1L,0
5815,DV UVA LIGHT TP 1L    C/6,0
5793,DV MARACUJA 1L      C/6 ,0
8812,DV 100% UVA 1L C/6,0
5783,DV LARANJA TP 1L     C/6,0
119168,DV MANGA 1L       C/6,0
